filename,filepath,url,content_length,word_count,line_count,content_hash,url_depth,url_section
page_14_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-20-february-2023.html.md,natwest_markdown_cleaning/page_14_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-20-february-2023.html.md,https://www.natwest.com/corporates/insights/markets/fx-outlook/fx-outlook-parkys-quick-take-20-february-2023.html,7253,814,81,c0303ed158fd050142e0229998f47fa8,5,corporates
summary.md,natwest_markdown_cleaning/summary.md,unknown,7996,172,40,68bc4372f5402a382286f3279c794bf6,0,unknown
page_18_https_www.natwest.com_business_support-centre_interest-rates_previous-business-savings-account-rates.html.md,natwest_markdown_cleaning/page_18_https_www.natwest.com_business_support-centre_interest-rates_previous-business-savings-account-rates.html.md,https://www.natwest.com/business/support-centre/interest-rates/previous-business-savings-account-rates.html,2990,404,137,593e48a8f19677113b5f38f5ec9bb5d4,4,business
page_16_https_www.natwest.com_corporates_insights_sustainability_mexico-city-airport-the-green-bond-that-was-no-longer.html.md,natwest_markdown_cleaning/page_16_https_www.natwest.com_corporates_insights_sustainability_mexico-city-airport-the-green-bond-that-was-no-longer.html.md,https://www.natwest.com/corporates/insights/sustainability/mexico-city-airport-the-green-bond-that-was-no-longer.html,7532,721,83,d8828b2a220d2da6417030108d6bb81f,4,corporates
page_3_https_www.natwest.com_corporates_about-us_case-studies_henkel-re-enters-eur-market-with-sustainability-linked-bond.html.backup.md,natwest_markdown_cleaning/page_3_https_www.natwest.com_corporates_about-us_case-studies_henkel-re-enters-eur-market-with-sustainability-linked-bond.html.backup.md,https://www.natwest.com/corporates/about-us/case-studies/henkel-re-enters-eur-market-with-sustainability-linked-bond.html,11891,1465,81,fb796d289338cb3c5217e65a19049313,4,corporates
page_9_https_www.natwest.com_corporates_currencies-and-international-trade_algo-suite.html.md,natwest_markdown_cleaning/page_9_https_www.natwest.com_corporates_currencies-and-international-trade_algo-suite.html.md,https://www.natwest.com/corporates/currencies-and-international-trade/algo-suite.html,3303,375,68,7a9649c528422203347bd0b97a1d5498,3,corporates
page_3_https_www.natwest.com_corporates_about-us_case-studies_henkel-re-enters-eur-market-with-sustainability-linked-bond.html.md,natwest_markdown_cleaning/page_3_https_www.natwest.com_corporates_about-us_case-studies_henkel-re-enters-eur-market-with-sustainability-linked-bond.html.md,https://www.natwest.com/corporates/about-us/case-studies/henkel-re-enters-eur-market-with-sustainability-linked-bond.html,6772,815,51,df6ae05bda085d0b69d142247fb467a5,4,corporates
page_14_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_what-isas-can-i-have-at-the-same-time.html.md,natwest_markdown_cleaning/page_14_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_what-isas-can-i-have-at-the-same-time.html.md,https://www.natwest.com/support-centre/bank-accounts-and-supporting-information/general/what-isas-can-i-have-at-the-same-time.html,6795,392,142,3b545c146fc3445778e7fa28ec6278ea,4,support-centre
page_12_https_www.natwest.com_business_insights_business-management_diversity_black-history-month-time-for-change-svh-inc-ceo-valentina-hynes.html.md,natwest_markdown_cleaning/page_12_https_www.natwest.com_business_insights_business-management_diversity_black-history-month-time-for-change-svh-inc-ceo-valentina-hynes.html.md,https://www.natwest.com/business/insights/business-management/diversity/black-history-month-time-for-change-svh-inc-ceo-valentina-hynes.html,11118,1224,129,c1065d13d1f023ebd5aae899e1f85acc,5,business
page_21_https_www.natwest.com_corporates_insights_markets_fx-outlook_currency-quick-take-20-aug.html.backup.md,natwest_markdown_cleaning/page_21_https_www.natwest.com_corporates_insights_markets_fx-outlook_currency-quick-take-20-aug.html.backup.md,https://www.natwest.com/corporates/insights/markets/fx-outlook/currency-quick-take-20-aug.html,9751,1179,93,3b0fb88336b43e66a1ee4025c4a485f7,5,corporates
page_5_https_www.natwest.com_business_insights_finances_funding_unlocking-growth-with-r-and-d-grants-and-tax-relief.html.md,natwest_markdown_cleaning/page_5_https_www.natwest.com_business_insights_finances_funding_unlocking-growth-with-r-and-d-grants-and-tax-relief.html.md,https://www.natwest.com/business/insights/finances/funding/unlocking-growth-with-r-and-d-grants-and-tax-relief.html,10302,1077,156,34463e8163f4b3e274a3ebf12d55f145,5,business
page_27_https_www.natwest.com_corporates_insights_sustainability_green-hybrids-a-win-win-solution.html.backup.md,natwest_markdown_cleaning/page_27_https_www.natwest.com_corporates_insights_sustainability_green-hybrids-a-win-win-solution.html.backup.md,https://www.natwest.com/corporates/insights/sustainability/green-hybrids-a-win-win-solution.html,15139,1640,151,cbd0e2a6608d3e9247dc96562e8ec64b,4,corporates
page_6_https_www.natwest.com_support-centre_general-banking-information_general_how-will-i-receive-a-one-time-passcode.html.md,natwest_markdown_cleaning/page_6_https_www.natwest.com_support-centre_general-banking-information_general_how-will-i-receive-a-one-time-passcode.html.md,https://www.natwest.com/support-centre/general-banking-information/general/how-will-i-receive-a-one-time-passcode.html,7779,563,164,7b1ae394d417bc9d9b3f86b7aa7d5e52,4,support-centre
page_7_https_www.natwest.com_business_insights_business-management_business-strategy_gew-2024-the-manchester-start-up-taking-on-greenwashing.html.md,natwest_markdown_cleaning/page_7_https_www.natwest.com_business_insights_business-management_business-strategy_gew-2024-the-manchester-start-up-taking-on-greenwashing.html.md,https://www.natwest.com/business/insights/business-management/business-strategy/gew-2024-the-manchester-start-up-taking-on-greenwashing.html,10486,1108,133,099463f6f6e369428ecbb2f7a28aa856,5,business
page_4_https_www.natwest.com_support-centre_banking-from-home_login-help_how-do-i-log-in-to-online-banking.html.md,natwest_markdown_cleaning/page_4_https_www.natwest.com_support-centre_banking-from-home_login-help_how-do-i-log-in-to-online-banking.html.md,https://www.natwest.com/support-centre/banking-from-home/login-help/how-do-i-log-in-to-online-banking.html,8002,549,164,424ad607b918d4aa0a666be423eb4862,4,support-centre
page_11_https_www.natwest.com_business_support-centre_support-for-rising-costs_reduce-energy-bills.html.md,natwest_markdown_cleaning/page_11_https_www.natwest.com_business_support-centre_support-for-rising-costs_reduce-energy-bills.html.md,https://www.natwest.com/business/support-centre/support-for-rising-costs/reduce-energy-bills.html,7501,829,108,b7a20c50ebd1f59296fa1307ed7336c4,4,business
page_25_https_www.natwest.com_business_insights_business-management_business-strategy_embracing-the-alternative.html.md,natwest_markdown_cleaning/page_25_https_www.natwest.com_business_insights_business-management_business-strategy_embracing-the-alternative.html.md,https://www.natwest.com/business/insights/business-management/business-strategy/embracing-the-alternative.html,12004,1526,127,055aa7c25621fd17cc1202f0f724b6ef,5,business
page_22_https_www.natwest.com_business_frequently-asked-questions_general-banking-information_general_how-do-i-submit-a-subject-access-request-sar.html.md,natwest_markdown_cleaning/page_22_https_www.natwest.com_business_frequently-asked-questions_general-banking-information_general_how-do-i-submit-a-subject-access-request-sar.html.md,https://www.natwest.com/business/frequently-asked-questions/general-banking-information/general/how-do-i-submit-a-subject-access-request-sar.html,6685,674,117,024be4f118ccacd085f2aa01e27dd82c,5,business
page_27_https_www.natwest.com_corporates_insights_sustainability_green-hybrids-a-win-win-solution.html.md,natwest_markdown_cleaning/page_27_https_www.natwest.com_corporates_insights_sustainability_green-hybrids-a-win-win-solution.html.md,https://www.natwest.com/corporates/insights/sustainability/green-hybrids-a-win-win-solution.html,10306,1023,123,d8cbaf033fb23e4c95ababe85dfeaa6e,4,corporates
page_6_https_www.natwest.com_support-centre_general-banking-information_general_ive-noticed-another-provider-has-cheaper-overdraft-fees-how-can-i-switch-account.html.md,natwest_markdown_cleaning/page_6_https_www.natwest.com_support-centre_general-banking-information_general_ive-noticed-another-provider-has-cheaper-overdraft-fees-how-can-i-switch-account.html.md,https://www.natwest.com/support-centre/general-banking-information/general/ive-noticed-another-provider-has-cheaper-overdraft-fees-how-can-i-switch-account.html,6599,346,140,de2b6e3be69102173cbc4588c1d23503,4,support-centre
page_24_https_www.natwest.com_support-centre_general-banking-information_general_why-are-you-making-changes-to-statements.html.md,natwest_markdown_cleaning/page_24_https_www.natwest.com_support-centre_general-banking-information_general_why-are-you-making-changes-to-statements.html.md,https://www.natwest.com/support-centre/general-banking-information/general/why-are-you-making-changes-to-statements.html,9800,837,178,d0c9c853fd3872242f401783a6ebb2f4,4,support-centre
page_15_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_setting-a-date-for-switching-your-account.html.md,natwest_markdown_cleaning/page_15_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_setting-a-date-for-switching-your-account.html.md,https://www.natwest.com/support-centre/bank-accounts-and-supporting-information/general/setting-a-date-for-switching-your-account.html,6749,366,140,958b9441c31f0692327cdb4314014ab0,4,support-centre
page_17_https_www.natwest.com_privacy-policy.html.md,natwest_markdown_cleaning/page_17_https_www.natwest.com_privacy-policy.html.md,https://www.natwest.com/privacy-policy.html,5047,806,98,abdc195b14cbaf15ad3cfc6002d68709,1,privacy-policy.html
page_19_https_www.natwest.com_support-centre_general-banking-information_general_i-am-under-16-can-i-use-online-and-mobile-banking.html.md,natwest_markdown_cleaning/page_19_https_www.natwest.com_support-centre_general-banking-information_general_i-am-under-16-can-i-use-online-and-mobile-banking.html.md,https://www.natwest.com/support-centre/general-banking-information/general/i-am-under-16-can-i-use-online-and-mobile-banking.html,6753,377,142,bed597a1b2df1f1872af238db03aaa08,4,support-centre
page_26_https_www.natwest.com_corporates_financing_specialist-finance_specialist-asset-finance.html.md,natwest_markdown_cleaning/page_26_https_www.natwest.com_corporates_financing_specialist-finance_specialist-asset-finance.html.md,https://www.natwest.com/corporates/financing/specialist-finance/specialist-asset-finance.html,6908,626,131,1e2ab9937f19c61869b5e7ea509d9547,4,corporates
page_1_https_www.natwest.com_business_insights_businessbuilder_building-a-growth-mindset-nw.html.md,natwest_markdown_cleaning/page_1_https_www.natwest.com_business_insights_businessbuilder_building-a-growth-mindset-nw.html.md,https://www.natwest.com/business/insights/businessbuilder/building-a-growth-mindset-nw.html,6188,622,100,fa606842be3f9994f59ff01db7818333,4,business
page_10_https_www.natwest.com_business_insights_sector-trends_manufacturing-and-automotive_retail-car-market-edges-out-of-lockdown.html.md,natwest_markdown_cleaning/page_10_https_www.natwest.com_business_insights_sector-trends_manufacturing-and-automotive_retail-car-market-edges-out-of-lockdown.html.md,https://www.natwest.com/business/insights/sector-trends/manufacturing-and-automotive/retail-car-market-edges-out-of-lockdown.html,12994,1699,122,f9a92a94bb81ccba87fd3d4b25c5ae81,5,business
page_7_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_i-have-had-an-email-saying-my-brand-secure-password-has-been-changed-is-this-a-genuine-email.html.md,natwest_markdown_cleaning/page_7_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_i-have-had-an-email-saying-my-brand-secure-password-has-been-changed-is-this-a-genuine-email.html.md,https://www.natwest.com/support-centre/bank-accounts-and-supporting-information/general/i-have-had-an-email-saying-my-brand-secure-password-has-been-changed-is-this-a-genuine-email.html,7456,468,151,10f9026f756faf2412077e0da3245761,4,support-centre
page_4_https_www.natwest.com_support-centre_general-banking-information_general_how-can-i-get-my-money-back-from-my-closed-card-that-has-a-credit-balance.html.md,natwest_markdown_cleaning/page_4_https_www.natwest.com_support-centre_general-banking-information_general_how-can-i-get-my-money-back-from-my-closed-card-that-has-a-credit-balance.html.md,https://www.natwest.com/support-centre/general-banking-information/general/how-can-i-get-my-money-back-from-my-closed-card-that-has-a-credit-balance.html,6641,367,140,e48ad5503ac469cabcdacd88ab560972,4,support-centre
page_29_https_www.natwest.com_business_insights_sector-trends_agriculture_nature-supports-long-term-business-resilience-in-dairy-farming.html.md,natwest_markdown_cleaning/page_29_https_www.natwest.com_business_insights_sector-trends_agriculture_nature-supports-long-term-business-resilience-in-dairy-farming.html.md,https://www.natwest.com/business/insights/sector-trends/agriculture/nature-supports-long-term-business-resilience-in-dairy-farming.html,17153,1867,158,984bb26eeea56ef61ba273dbe2285a29,5,business
page_20_https_www.natwest.com_business_loans-and-finance_commercial-mortgages-explained.html.md,natwest_markdown_cleaning/page_20_https_www.natwest.com_business_loans-and-finance_commercial-mortgages-explained.html.md,https://www.natwest.com/business/loans-and-finance/commercial-mortgages-explained.html,5944,827,98,e412f88577a8e7fb712c30f087ea56cc,3,business
page_14_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-20-february-2023.html.backup.md,natwest_markdown_cleaning/page_14_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-20-february-2023.html.backup.md,https://www.natwest.com/corporates/insights/markets/fx-outlook/fx-outlook-parkys-quick-take-20-february-2023.html,11048,1383,97,5bf94980ff3c662e80b8cbdf0a1ce385,5,corporates
page_10_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-7-february-2023.html.backup.md,natwest_markdown_cleaning/page_10_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-7-february-2023.html.backup.md,https://www.natwest.com/corporates/insights/markets/fx-outlook/fx-outlook-parkys-quick-take-7-february-2023.html,11263,1484,109,30bbae55a50d852b1186e209a31c6804,5,corporates
page_1_https_www.natwest.com_investments_our-insights_election-update.html.md,natwest_markdown_cleaning/page_1_https_www.natwest.com_investments_our-insights_election-update.html.md,https://www.natwest.com/investments/our-insights/election-update.html,2642,417,38,6c741929e40c9b7cac92bffac716b837,3,investments
page_3_https_www.natwest.com_corporates_insights_authors_william-robson.html.md,natwest_markdown_cleaning/page_3_https_www.natwest.com_corporates_insights_authors_william-robson.html.md,https://www.natwest.com/corporates/insights/authors/william-robson.html,2559,166,41,4e7208db2355ec567580b2d563865b99,4,corporates
page_21_https_www.natwest.com_corporates_insights_markets_fx-outlook_currency-quick-take-20-aug.html.md,natwest_markdown_cleaning/page_21_https_www.natwest.com_corporates_insights_markets_fx-outlook_currency-quick-take-20-aug.html.md,https://www.natwest.com/corporates/insights/markets/fx-outlook/currency-quick-take-20-aug.html,5976,613,79,534d78df026473a585cbb65f4507d126,5,corporates
page_28_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_what-happens-if-there-is-a-mistake-or-unnecessary-delay-in-the-switching-of-my-account.html.md,natwest_markdown_cleaning/page_28_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_what-happens-if-there-is-a-mistake-or-unnecessary-delay-in-the-switching-of-my-account.html.md,https://www.natwest.com/support-centre/bank-accounts-and-supporting-information/general/what-happens-if-there-is-a-mistake-or-unnecessary-delay-in-the-switching-of-my-account.html,6968,391,140,30a028b49d84f62644c3ad0e2872e3f3,4,support-centre
page_30_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_what-are-the-differences-when-im-applying-for-a-loan-if-i-am-selfemployed.html.md,natwest_markdown_cleaning/page_30_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_what-are-the-differences-when-im-applying-for-a-loan-if-i-am-selfemployed.html.md,https://www.natwest.com/support-centre/bank-accounts-and-supporting-information/general/what-are-the-differences-when-im-applying-for-a-loan-if-i-am-selfemployed.html,8118,600,161,d3eb9f0720c2c14a9b98d328607035a5,4,support-centre
page_8_https_www.natwest.com_business_frequently-asked-questions_Bank-accounts-and-supporting-info_general_if-i-switch-my-account-will-my-standing-orders-be-moved-for-me.html.md,natwest_markdown_cleaning/page_8_https_www.natwest.com_business_frequently-asked-questions_Bank-accounts-and-supporting-info_general_if-i-switch-my-account-will-my-standing-orders-be-moved-for-me.html.md,https://www.natwest.com/business/frequently-asked-questions/Bank-accounts-and-supporting-info/general/if-i-switch-my-account-will-my-standing-orders-be-moved-for-me.html,3977,242,73,da7dda7170a6fc75744f83cb1fc9c7db,5,business
